id,name,botanicalName,status,location,locationSec,waterPref,lastWatered,sunlight,plantType,humidity,heightLow,heightHigh,tempLow,tempHigh,hardiness,tolerance,pH,soilContent,cycle,hardinessZone,lastPotted,links,propogating,watching,notes,createdAt,updatedAt
101,"Dumb Cane",Dieffenbachia,,indoor,,moderate,2020-10-25,"medium to bright light",,,NULL,NULL,65,70,60,NULL,n/a,"peat, perlite, potting mix",n/a,"10 - 12",2020-05-30,https://plantcaretoday.com/dieffenbachia-plant-care.html,NULL,NULL,n/a,2020-10-11,2020-10-25
102,"Rubber Plant","Ficus elastica",,indoor,,moderate,2020-10-14,"bright light",,,NULL,NULL,60,80,50,NULL,n/a,,n/a,10-11,NULL,"https://www.proflowers.com/blog/rubber-plant-care, https://www.today.com/home/easiest-indoor-house-plants-won-t-die-you-t73006",NULL,NULL,"let it dry out",2020-10-11,2020-10-25
103,Coleus,"Plectranthus scuttellariodes",,indoor,,moist,2020-10-24,"part sun, full sun",,none,NULL,NULL,60,100,50,NULL,7,,annual,10-11,NULL,https://www.doityourself.com/stry/mistakes-to-avoid-when-growing-a-coleus,N,NULL,"below 40 and the plant will be damaged. propogating, needs to be topped off",2020-10-11,2020-12-24
104,Citronella,,,indoor,,"moderate to dry",2020-10-18,,,,NULL,NULL,60,70,50,NULL,n/a,,perennial,9-11,NULL,"https://www.gardenguides.com/90515-care-citronella-plants-fall.html, https://bonnieplants.com/how-to-grow/growing-mosquito-plants/",NULL,NULL,"drought tolerant",2020-10-11,2020-10-25
105,Rosemary,,,indoor,,dry,2020-11-08,"full sun",herb,,NULL,NULL,30,90,20,NULL,n/a,"sandy, loamy",,7-10,NULL,"https://bonnieplants.com/how-to-grow/growing-rosemary/, https://www.almanac.com/plant/rosemary",NULL,NULL,"can handle temp being 0, but not sustained",2020-10-11,2020-12-24
106,Lavender,,,outdoor,,dry,NULL,"full sun",,,NULL,NULL,10,90,20,NULL,,,,5-8,NULL,https://homeguides.sfgate.com/climate-grow-english-lavender-71815.html,NULL,NULL,"check the variety of lavender, as some can't tolerate temps below 40, while others can handle 10 to -20",2020-10-11,2020-10-11
107,"Italian Oregano",,,indoor,,moist,2020-11-08,"full sun, part shade",herb,,NULL,NULL,30,,20,NULL,,,perennial,5-10,2020-10-24,"https://bonnieplants.com/product/italian-oregano/, https://www.thespruce.com/growing-oregano-plants-1402818",NULL,NULL,"allow soil to dry out between waterings",2020-10-11,2020-11-08
108,"Greek Oregano",,,indoor,,moist,2020-11-08,"full sun, part shade",herb,,NULL,NULL,20,,-30,NULL,,,perennial,4-8,NULL,"https://bonnieplants.com/product/greek-oregano/, https://www.thespruce.com/growing-oregano-plants-1402818",NULL,NULL,"allow soil to dry out between waterings",2020-10-11,2020-11-08
109,"Lemon Thyme",,,outdoor,,,NULL,"full sun to part shade",,,NULL,NULL,20,,10,NULL,,,,"7 - 9",NULL,https://bonnieplants.com/product/lemon-thyme/,NULL,NULL,"Perennial in zones 7 to 9, plant spacing 18 to 24 inches apart",2020-10-11,2020-10-11
110,"Romaine Lettuce",,,outdoor,,moist,NULL,"full sun to part shade",,,NULL,NULL,25,90,,NULL,,,,,NULL,,NULL,NULL,"cold weather plant",2020-10-11,2020-10-11
111,Boxwood,,,outdoor,,"when dry",NULL,"full sun",,,NULL,NULL,,,-30,NULL,,,,,NULL,,NULL,NULL,"Also named Buxus, Green Velvet, height 24-36', space 36'",2020-10-11,2020-10-11
112,Lilac,,,outdoor,,"when dry",NULL,"full sun",,,NULL,NULL,,,-40,NULL,,,,,NULL,,NULL,NULL,"Also named 'syringa patula', 'Miss Kim', height 3-5', space 5', blooms early spring to summer",2020-10-11,2020-10-11
113,Spinach,,inactive,none,,moist,NULL,"full sun, part shade",herb,,NULL,NULL,20,,20,NULL,,,,,NULL,https://bonnieplants.com/product/bonnie-spinach/?gclid=EAIaIQobChMIzYXQsZ_L6QIVkIbACh06_AC5EAAYASAAEgLtOPD_BwE&cmp=kid/BonniePlants/Google_SEM/Brand/G|BonniePlants|Search|Generic|Vegetables/G|BonniePlants|Search|Generic|Vegetables|Spinach&s_kwcid=AL!4676!3!426170300098!p!!g!!grow%20spinach&ef_id=EAIaIQobChMIzYXQsZ_L6QIVkIbACh06_AC5EAAYASAAEgLtOPD_BwE:G:s&s_kwcid=AL!4676!3!426170300098!p!!g!!grow%20spinach,NULL,NULL,,2020-10-11,2020-12-24
114,"Flat Leaf Parsley",,,indoor,,moist,NULL,"sun to part shade",,,NULL,NULL,,,25,NULL,,,biennial,,NULL,https://bonnieplants.com/product/flat-italian-parsley/,NULL,NULL,"Space 12 to 20 inches apart, depending on type, plant size 1 foot tall",2020-10-11,2020-12-24
115,Arugula,,inactive,,,moist,NULL,,vegetable,,NULL,NULL,,,30,NULL,,,annual,,NULL,,NULL,NULL,"Cool season plant. Leafy plants grow 6 to 12 inches tall while in the harvest stage. Once they bolt in late spring or early summer, the bloom stalks may grow 24 to 36 inches with (edible!) tan-white flowers on top, which signals that it is time to make room for warm-weather crops. However, some gardeners continue to harvest the leaves even from the tall plants, liking the stronger taste. You can even cut them back and pick some more until you finally tire of that and then pull them up and wait until fall to plant again.",2020-10-11,2020-10-11
116,Basil,,inactive,indoor,,moist,2020-10-24,"full sun to part sun",herb,,NULL,NULL,50,,40,NULL,,,annual,"10 - 11",NULL,,N,NULL,"have seedlings, but the big plants died.",2020-10-11,2020-12-24
117,"Sweet Potato Vine",,inactive,indoor,,moist,2020-10-24,"sun, part sun, shade",,,NULL,NULL,50,50,40,NULL,,,,,NULL,"http://www.costafarms.com/plants/sweet-potato-vine, https://www.gardendesign.com/vines/sweet-potato-vine.html",NULL,NULL,"For containers, plant in a high quality all-purpose potting soil.",2020-10-11,2020-12-24
118,"Artillery plant","Pilea microphylla",inactive,none,,moderate,2020-11-08,"part shade",houseplant,moderate,NULL,NULL,60,95,45,NULL,7,,,"11 - 12",NULL,https://www.gardeningknowhow.com/houseplants/pilea-plants/growing-artillery-plants.htm,NULL,NULL,"Propagation Methods: By dividing the rootball, From herbaceous stem cuttings",2020-10-11,2020-12-24
119,"Chinese Money plant","Pilea peperomioides",,indoor,,"moderate to dry",2020-10-18,"bright light, indirect light",,,NULL,NULL,65,,none,NULL,,,,,2000-01-01,"https://greeneryunlimited.co/blogs/plant-care/pilea-peperomioides-care, https://bloomscape.com/plant-care-guide/pilea/#g1, https://savvygardening.com/pilea-peperomioides-care/",NULL,NULL,"When overwatered, the Pilea's leaves will develop brown spotting and edging, and the leaves will begin to fall off the plant. If your plant is showing these symptoms, feel the soil. If it’s moist then hold off on watering until the soil dries all the way through the pot. Reference the care instructions for re-establishing a watering routine with your plant. Other causes for brown spotting are too much fertilizer, too much sun, or pests.",2020-10-11,2020-10-25
120,"Spider plant",,,indoor,,moderate,2020-11-08,"bright light, medium light",,,NULL,NULL,60,75,,NULL,,,,,2020-10-01,,NULL,NULL,,2020-10-11,2020-11-08
121,Haworthia,,,indoor,,,2020-10-18,,succulent,,NULL,NULL,,,,NULL,,,,,NULL,,NULL,NULL,,2020-10-11,2020-10-25
122,"Haworthia (Zebra Wart)","Haworthia reinwardtii",,indoor,,,2020-10-18,indirect,succulent,,NULL,NULL,,,,NULL,,,,,NULL,https://worldofsucculents.com/haworthia-reinwardtii-zebra-wart/,NULL,NULL,,2020-10-11,2020-10-25
123,Pothos,"Epipremnum aureum","in progress",indoor,"front window",moderate,2020-11-08,"bright indirect",,,NULL,NULL,60,80,50,NULL,,"any well draining potting soil",,"10 - 11",2020-10-03,,NULL,NULL,"Bright indirect light is ideal, but plants are tolerant of low light and fluorescent lighting. Avoid direct sunlight, which can burn or discolor foliage.",2020-10-11,2020-12-24
124,"Fiddleleaf fig plant","ficus lyrata",,indoor,,"moderate to moist",2020-11-01,"bright, filtered light",,,NULL,NULL,60,80,,NULL,,"Any good, fast-draining potting soil will likely do",,,NULL,"https://www.thespruce.com/grow-fiddle-leaf-fig-indoors-1902756, https://www.gardenista.com/posts/10-things-nobody-tells-fiddle-leaf-fig-trees-houseplant-growing-care-guide/",NULL,NULL,"in the wild thrive in warm and wet conditions",2020-10-11,2020-11-08
125,"Bird of paradise","Strelitzia reginae",,indoor,,moderate,2020-11-01,"very bright light, part sun",,,NULL,NULL,50,80,30,NULL,,"All-purpose potting mix",,,2020-10-18,,NULL,NULL,https://www.fieldnotesbystudioplants.com/houseplants/bird-of-paradise-plant-care-strelitzia,2020-10-11,2020-11-08
126,"Red Aglaonema",Aglaonema,,indoor,,"moderate to dry",2020-11-08,"low to bright light",houseplant,high,NULL,NULL,65,,65,NULL,,"A well-drained, lightly acidic potting soil",,"10 - 11",2020-10-01,https://www.thespruce.com/grow-aglaonema-houseplants-1902734,NULL,NULL,mist,2020-10-11,2020-11-08
127,"Pincushion peperomia","Peperomia ferreyrae",,indoor,,,2020-10-18,"bright light",,moderate,NULL,NULL,65,75,50,NULL,,,perennial,"9 - 11",2020-10-01,"https://plantcaretoday.com/peperomia-ferreyrae.html, https://www.houseplantsexpert.com/peperomia-ferreyrae.html",NULL,NULL,"Use a potting mix prepared with two parts peat and one part perlite or sand for best results.",2020-10-11,2020-10-25
128,"Umbrella plant","Schefflera arboricola","""",indoor,,moist,2020-11-05,"bright, indirect light",,,NULL,NULL,,,,NULL,,,,"10 - 11",2020-10-01,https://www.thespruce.com/grow-schefflera-plants-inside-1902771,NULL,NULL,,NULL,2020-11-08
129,"Bamboo plant","Dracaena sanderiana",,indoor,,moderate,2020-10-01,"indirect light",,,NULL,NULL,65,95,,NULL,,,,10-11,NULL,"https://www.proflowers.com/blog/lucky-bamboo-care, https://bambooplantshq.com/lucky-bamboo-turning-white-or-pale/",NULL,NULL,,2020-10-11,2020-10-25
130,"Sensitive plant","Mimosa pudica","in progress",indoor,"plant shelf",moderate,2020-10-24,"bright, medium",houseplant,moderate,NULL,NULL,65,85,60,NULL,NULL,"loamy, peat moss",NULL,"9 - 11",NULL,"https://www.youtube.com/watch?v=Fl-3lpYXnYg, https://homeguides.sfgate.com/care-sensitive-plant-mimosa-pudica-67276.html",NULL,NULL,"allow to dry and wilt a little but watch closely. do not overwater. yellow leaves appear when overwatered.
mostly died. we'll see what happens.",2020-10-11,2020-12-24
131,Stapelia,"Stapelia hirsuta","in progress",indoor,"front window",dry,NULL,medium,succulent,NULL,NULL,NULL,50,95,50,NULL,NULL,"airy, well-drained soil",NULL,"9 - 10",2019-01-01,"http://pza.sanbi.org/stapelia, https://plantcaretoday.com/carrion-flower-stapelia.html",NULL,NULL,"water once every 3-4 weeks in the winter, once every other week in the growing season. watch for mealy bugs, though they tend to appear from overwatering",2020-10-11,2020-12-24
132,"Janet Craig Compacta (with stalk)","Dracaena deremensis",inactive,indoor,,moderate,2020-10-25,medium,houseplant,moderate,NULL,NULL,65,80,40,NULL,NULL,NULL,NULL,"9 - 11",2020-10-01,https://plantcaretoday.com/dracaena-compacta.html,NULL,NULL,"tall one with stalk. yellow leaf, too little water or too much sunlight. Also brown leaf tips can mean needs to water with distilled.
died when transferred from water only",2020-10-11,2020-12-24
133,Sansevieria,"Sansevieria trifasciata",,indoor,,moderate,2020-10-01,low,succulent,moderate,NULL,NULL,65,80,45,NULL,NULL,NULL,NULL,"10 - 11",NULL,https://www.joyusgarden.com/sansevierias-snake-plant-care/,NULL,NULL,"slow growing. make sure soil is completely dry before watering again. water every 2-8 weeks, less often in winter.",2020-10-11,2020-10-25
134,"Rabbit's Foot Fern","Davallia fejeensis",,indoor,,moderate,2020-11-08,medium,houseplant,moderate,NULL,NULL,65,80,55,NULL,NULL,"50% peat and chopped bark",NULL,"10 - 11",NULL,"https://www.epicgardening.com/rabbits-foot-fern/, https://www.gardeningknowhow.com/houseplants/rabbits-foot-fern/repotting-rabbits-foot-fern.htm",NULL,NULL,"water when top inch of soil is dry. Shallow pots work well for growing this houseplant. Make sure to change the pot every few years. Rabbit’s foot ferns need repotting about every two years, and the best time to repot is in spring. Mix regular potting soil half-and-half with sand to create an ideal medium for rabbit’s foot ferns. This is an excellent time to divide large plants.",2020-10-11,2020-11-08
135,"Purple Waffle Plant","hemigraphis alternata",inactive,indoor,"plant shelf",moist,2020-10-24,bright,houseplant,high,NULL,NULL,55,80,55,NULL,NULL,NULL,NULL,"10 - 11",NULL,https://lunarly.com/blogs/plant-care/grow-a-vibrant-purple-waffle-plant,NULL,NULL,"low growing
died, didn't keep it moist enough",2020-10-11,2020-12-24
136,"Corn Plant","Dracaena massangeana",inactive,indoor,,dry,2020-10-25,bright,houseplant,high,NULL,NULL,60,75,"10 - 11",NULL,NULL,NULL,NULL,NULL,NULL,"https://www.ourhouseplants.com/plants/dracaena-fragrans, https://www.hunker.com/12135227/how-to-care-for-a-corn-plant-dracaena-fragrans, https://www.thespruce.com/grow-dracaena-fragrans-indoors-1902748",NULL,NULL,"Soil shouldn't be allowed to dry out completely. Does not like direct sunlight. Does prefer some humidity. Repot every two or three years. Avoid using soil mixes that contain a large amount of perlite or fertilizers containing superphosphate with these plants. That's because Dracaenas are very sensitive to fluoride, which perlite and superphosphate contain. Can water with distilled water. In terms of lighting, the ideal location for this plant indoors is near a window with filtered sunlight. Too little light will result in the leaves losing their stripes, and it can cause the plant's growth to become stunted. But direct sun can burn the plant and cause it to wilt. Outdoors, the plant does best in part shade.",NULL,2020-12-24
137,"Boston Fern","Nephrolepis exaltata","in progress",indoor,"front window",moist,2020-10-18,"bright indirect",houseplant,high,NULL,NULL,60,75,50,NULL,5.5,"loamy, rich, organic mixture as a potting soil, peat moss",perennial,"9 - 12",2020-10-18,"https://www.gardeningknowhow.com/houseplants/boston-fern/boston-fern-care.htm, https://www.thespruce.com/grow-nephrolepis-boston-ferns-1902723",NULL,NULL,"Don't like soggy soil. Mist frequently.",NULL,2020-12-24
138,Jade,"Crassula argentea",,indoor,"living room",moderate,2020-11-05,"bright indirect",succulent,,NULL,NULL,60,75,50,NULL,5.5,"potting mix, half perlite",,"10 - 12",2020-10-01,https://www.almanac.com/plant/jade-plants,NULL,NULL,"young plants need bright, indirect sunlight, older need direct sunlight for 4 hours. water when mostly dried out, less in winter.",NULL,2020-11-08
139,"ZZ Plant","Zamioculcas zamifolia",,indoor,"living room",moderate,2020-11-08,"bright indirect",succulent,,NULL,NULL,60,90,50,NULL,5.5,"potting mix, half perlite",,"10 - 12",2020-10-01,https://www.almanac.com/plant/jade-plants,NULL,NULL,"young plants need bright, indirect sunlight, older need direct sunlight for 4 hours. water when mostly dried out, less in winter.",NULL,2020-11-08
140,"Snake plant","Sansevieria fischeri",,,,dry,NULL,medium,,,NULL,NULL,,,,NULL,,,,,NULL,,NULL,NULL,,NULL,NULL
141,"Bird's Nest Snake Plant","Sansevieria trifasciata ‘Hahnii’",,,,dry,NULL,medium,succulent,,NULL,NULL,,,,NULL,,"well draining potting soil",,"10 - 11",2020-10-03,"https://desertsucculents.com/birds-nest-sansevieria-trifasciata-hahnii-details-growing-tips/, https://www.urbanorganicyield.com/sansevieria-varieties/",NULL,NULL,"These are small and slow growing so they can be grown in terrariums and dish gardens. Propagation can be done by dividing the rootball, from offsets and from leaf cuttings.",NULL,NULL
142,"African milk tree plant","Euphorbia trigona rubra",,indoor,,dry,2020-10-24,bright,succulent,,NULL,NULL,,,55,NULL,,,,,2020-10-18,"https://dengarden.com/gardening/Euphorbia-Trigona-African-Milk-Tree, https://www.thespruce.com/african-milk-tree-profile-4846360",NULL,NULL,"Also known as Rubra or Royal Red. Can water once a week. Drought tolerant. Can grow up to 2 feet a year.",NULL,2020-12-24
143,"Fluffy Ruffle Fern","Nephrolepis exaltata",inactive,indoor,,moderate,2020-11-07,bright,houseplant,high,NULL,NULL,60,80,50,NULL,,"garden soil, sand, peat moss or spaghnum",,"11 - 12",NULL,"https://www.hendriksgreenhouses.com/fluffy-ruffle, ",NULL,NULL,"Hybrid of a boston fern. Thrives in humidity. Mist frequently. Don't like soggy soil
had fungus gnats. put outside, got cold and it died.",NULL,2020-12-24
144,"Mini fan plant",,,indoor,,moist,2020-10-24,bright,houseplant,,NULL,NULL,,,,NULL,,"regular potting soil",,,2020-08-28,,NULL,NULL,"Not sure what the plant is named. Found in mini plant section at Gethsemane. Check frequently and do not allow to get completely dry or leaves will die.",NULL,2020-10-25
145,"Mini bushy plant",,,indoor,,moderate,2020-10-24,bright,houseplant,,NULL,NULL,,,,NULL,,,,,NULL,,NULL,NULL,"Not sure what the plant is named. Found in Mariano's. water.",NULL,2020-10-25
146,"Mini flower succulent",,,indoor,,moderate,2020-10-22,bright,succulent,,NULL,NULL,,,,NULL,,,,,NULL,,NULL,NULL,"Not sure what the plant is named. Found in Trader Joe's. Very tall right now, need to be repotted.",NULL,2020-10-25
147,"Prayer Plant","Maranta leuconeura",,indoor,,moderate,2020-11-07,bright,houseplant,moderate,NULL,NULL,,,,NULL,,,,,NULL,https://www.thespruce.com/grow-maranta-inside-1902647,NULL,NULL,,NULL,2020-11-08
148,"Peacock plant","Calathea makoyana",,indoor,,moist,2020-10-24,"low medium",houseplant,high,NULL,NULL,60,75,60,NULL,,"peat, sand, perlite, 1-1-1",,,2020-10-18,https://www.houseplantsexpert.com/peacock-plant-calathea-makoyana.html,NULL,NULL,"evenly moist but not wet. if leaves are turning brown, more humidity",NULL,2020-10-25
149,"Asparagus fern","Asparagus densiflorus",,indoor,"fish tank",moderate,2020-10-24,"part shade",,,NULL,NULL,,,20,NULL,,,,"9 - 11",NULL,,NULL,NULL,"drought tolerant. current one is a baby succulent.",NULL,2020-12-24
150,"Peace lily","Spathiphyllum wallisi","in progress",indoor,bedroom,dry,2020-11-08,"bright light",houseplant,high,NULL,NULL,65,80,50,NULL,,"Peat-based potting mix with perlite, sand, or bark",,"11 - 12",NULL,,NULL,NULL,"Drought tolerant. Wait until it droops a little to water. When your plant’s roots show or your peace lily seems to be drinking up all its water within a few days, re-pot into a larger container. Your plant may need to be gradually moved into larger and larger containers, but generally peace lilies won’t need to go into a pot larger than 10 inches.",NULL,2020-12-24
151,Gerbera,NULL,"in progress",indoor,"plant shelf",NULL,2020-11-08,medium,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,annual,NULL,2020-10-17,NULL,NULL,NULL,"Keep watch",2020-10-18,2020-12-24
152,"Money Plant (for friend)",NULL,,indoor,NULL,NULL,2020-10-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-01,NULL,NULL,NULL,NULL,2020-10-25,2020-10-25
153,"Janet Craig Compacta (small)","Dracaena deremensis",NULL,indoor,NULL,NULL,2020-10-24,medium,houseplant,moderate,NULL,NULL,65,80,40,NULL,NULL,NULL,NULL,NULL,2020-10-01,NULL,NULL,NULL,"smaller version. keep an eye on it. use distilled water if the edge turn brown.",2020-10-25,2020-10-25
154,Pothos,"Epipremnum aureum","in progress",indoor,kitchen,NULL,2020-12-31,NULL,houseplant,NULL,NULL,NULL,60,80,50,NULL,NULL,"any well draining potting soil",NULL,NULL,2020-11-02,NULL,NULL,NULL,"Bright indirect light is ideal, but plants are tolerant of low light and fluorescent lighting. Avoid direct sunlight, which can burn or discolor foliage.",2020-12-24,2021-01-03
