"id";"name";"botanicalName";"status";"location";"locationSec";"locationPreferred";"waterPref";"lastWatered";"sunlight";"plantType";"trouble";"needsCare";"humidity";"heightLow";"heightHigh";"tempLow";"tempHigh";"hardiness";"tolerance";"pH";"soilContent";"cycle";"hardinessZone";"lastPotted";"links";"propogating";"watching";"notes";"createdAt";"updatedAt"
136;"Corn Plant";"Dracaena massangeana";"";"indoor";"";"outdoor";"dry";"2020-10-25";"bright";"houseplant";"";"";"high";"";"";"60";"75";"10 - 11";"";"";"";"";"";"";"https://www.ourhouseplants.com/plants/dracaena-fragrans, https://www.hunker.com/12135227/how-to-care-for-a-corn-plant-dracaena-fragrans, https://www.thespruce.com/grow-dracaena-fragrans-indoors-1902748";"";"";"Soil shouldn't be allowed to dry out completely. Does not like direct sunlight. Does prefer some humidity. Repot every two or three years. Avoid using soil mixes that contain a large amount of perlite or fertilizers containing superphosphate with these plants. That's because Dracaenas are very sensitive to fluoride, which perlite and superphosphate contain. Can water with distilled water. In terms of lighting, the ideal location for this plant indoors is near a window with filtered sunlight. Too little light will result in the leaves losing their stripes, and it can cause the plant's growth to become stunted. But direct sun can burn the plant and cause it to wilt. Outdoors, the plant does best in part shade.";"";"2021-04-04"
137;"Boston Fern";"Nephrolepis exaltata";"in progress";"indoor";"front window";"";"moist";"2020-10-18";"bright indirect";"houseplant";"";"";"high";"";"";"60";"75";"50";"";"5.5";"loamy, rich, organic mixture as a potting soil, peat moss";"perennial";"9 - 12";"2020-10-18";"https://www.gardeningknowhow.com/houseplants/boston-fern/boston-fern-care.htm, https://www.thespruce.com/grow-nephrolepis-boston-ferns-1902723";"";"";"Don't like soggy soil. Mist frequently.";"";"2020-12-24"
138;"Jade";"Crassula argentea";"";"indoor";"living room";"";"moderate";"2020-11-05";"bright indirect";"succulent";"";"";"";"";"";"60";"75";"50";"";"5.5";"potting mix, half perlite";"";"10 - 12";"2020-10-01";"https://www.almanac.com/plant/jade-plants";"";"";"young plants need bright, indirect sunlight, older need direct sunlight for 4 hours. water when mostly dried out, less in winter.";"";"2020-11-08"
139;"ZZ Plant";"Zamioculcas zamifolia";"";"indoor";"living room";"";"moderate";"2020-11-08";"bright indirect";"succulent";"";"";"";"";"";"60";"90";"50";"";"5.5";"potting mix, half perlite";"";"10 - 12";"2020-10-01";"https://www.almanac.com/plant/jade-plants";"";"";"young plants need bright, indirect sunlight, older need direct sunlight for 4 hours. water when mostly dried out, less in winter.";"";"2020-11-08"
140;"Snake plant";"Sansevieria fischeri";"";"";"";"";"dry";"";"medium";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
141;"Bird's Nest Snake Plant";"Sansevieria trifasciata ‘Hahnii’";"";"";"plant shelf";"";"dry";"";"medium";"succulent";"";"";"";"";"";"";"";"";"";"";"well draining potting soil";"";"10 - 11";"2020-10-03";"https://desertsucculents.com/birds-nest-sansevieria-trifasciata-hahnii-details-growing-tips/, https://www.urbanorganicyield.com/sansevieria-varieties/";"";"";"These are small and slow growing so they can be grown in terrariums and dish gardens. Propagation can be done by dividing the rootball, from offsets and from leaf cuttings.";"";"2021-04-04"
142;"African milk tree plant";"Euphorbia trigona rubra";"";"indoor";"living room window";"";"dry";"2020-10-24";"bright";"succulent";"";"";"";"";"";"";"";"55";"";"";"";"";"";"2020-10-18";"https://dengarden.com/gardening/Euphorbia-Trigona-African-Milk-Tree, https://www.thespruce.com/african-milk-tree-profile-4846360";"";"";"Also known as Rubra or Royal Red. Can water once a week. Drought tolerant. Can grow up to 2 feet a year.";"";"2021-04-04"
143;"Fluffy Ruffle Fern";"Nephrolepis exaltata";"inactive";"indoor";"";"";"moderate";"2020-11-07";"bright";"houseplant";"";"";"high";"";"";"60";"80";"50";"";"";"garden soil, sand, peat moss or spaghnum";"";"11 - 12";"";"https://www.hendriksgreenhouses.com/fluffy-ruffle, ";"";"";"Hybrid of a boston fern. Thrives in humidity. Mist frequently. Don't like soggy soil
had fungus gnats. put outside, got cold and it died.";"";"2020-12-24"
144;"Mini fan plant";"";"inactive";"indoor";"";"";"moist";"2020-10-24";"bright";"houseplant";"";"";"";"";"";"";"";"";"";"";"regular potting soil";"";"";"2020-08-28";"";"";"";"Not sure what the plant is named. Found in mini plant section at Gethsemane. Check frequently and do not allow to get completely dry or leaves will die.

Update: died in December";"";"2021-03-13"
145;"Mini bushy plant";"";"";"indoor";"";"";"moderate";"2020-10-24";"bright";"houseplant";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Not sure what the plant is named. Found in Mariano's. water.";"";"2020-10-25"
146;"Mini flower succulent";"";"";"indoor";"";"";"moderate";"2020-10-22";"bright";"succulent";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Not sure what the plant is named. Found in Trader Joe's. Very tall right now, need to be repotted.";"";"2020-10-25"
147;"Prayer Plant";"Maranta leuconeura";"";"indoor";"";"";"moderate";"2020-11-07";"bright";"houseplant";"";"";"moderate";"";"";"";"";"";"";"";"";"";"";"";"https://www.thespruce.com/grow-maranta-inside-1902647";"";"";"";"";"2020-11-08"
148;"Peacock plant";"Calathea makoyana";"";"indoor";"dining room";"";"moist";"2020-10-24";"low medium";"houseplant";"Y";"";"high";"";"";"60";"75";"60";"";"";"peat, sand, perlite, 1-1-1";"";"";"2020-10-18";"https://www.houseplantsexpert.com/peacock-plant-calathea-makoyana.html";"";"";"evenly moist but not wet. if leaves are turning brown, more humidity. 

Update In January 2020, all the leaves curled up. Had to cut off two of the dying stems. Seems to curl up under the constant medium light on the plant shelf, probably dry there as well. Have it currently in the dining room. Changing Water from moist to moderate. After being in the dining room for a week and a half, leaves uncurled. No new leaves yet.

April 2021, new leaves have been cropping up.";"";"2021-04-11"
149;"Asparagus fern";"Asparagus densiflorus";"";"indoor";"fish tank";"";"moderate";"2020-10-24";"part shade";"";"";"";"";"";"";"";"";"20";"";"";"";"";"9 - 11";"";"";"";"";"drought tolerant. current one is a baby succulent.";"";"2020-12-24"
150;"Peace lily";"Spathiphyllum wallisi";"in progress";"indoor";"bedroom";"";"dry";"2020-11-08";"bright light";"houseplant";"";"";"high";"";"";"65";"80";"50";"";"";"Peat-based potting mix with perlite, sand, or bark";"";"11 - 12";"";"";"";"";"Drought tolerant. Wait until it droops a little to water. When your plant’s roots show or your peace lily seems to be drinking up all its water within a few days, re-pot into a larger container. Your plant may need to be gradually moved into larger and larger containers, but generally peace lilies won’t need to go into a pot larger than 10 inches.";"";"2020-12-24"
151;"Gerbera";"Gerbera jamesonii";"in progress";"outdoor";"plant shelf";"outdoor";"";"2020-11-08";"full sun to part shade";"houseplant";"Y";"";"";"";"";"80";"50";"45";"";"";"rich and moist";"perennial";"8 - 11";"2020-10-17";"https://www.thespruce.com/gerber-daises-4121360";"";"";"Keep watch. Gerbera daisies require full sun to partial shade, but they do not like intense heat. That said, allow for morning sun in warmer zones and full sun in cooler climates. Try not to plant Gerbera near a foundation or stone wall that will reflect heat back onto the plant.";"2020-10-18";"2021-04-19"
153;"Janet Craig Compacta (small)";"Dracaena deremensis";"";"indoor";"";"";"";"2020-10-24";"medium";"houseplant";"";"";"moderate";"";"";"65";"80";"40";"";"";"";"";"";"2020-10-01";"";"";"";"smaller version. keep an eye on it. use distilled water if the edge turn brown.";"2020-10-25";"2020-10-25"
154;"Pothos";"Epipremnum aureum";"in progress";"indoor";"plant shelf";"";"";"2020-12-31";"";"houseplant";"";"";"";"";"";"60";"80";"50";"";"";"any well draining potting soil";"";"";"2020-11-02";"";"";"";"Bright indirect light is ideal, but plants are tolerant of low light and fluorescent lighting. Avoid direct sunlight, which can burn or discolor foliage.";"2020-12-24";"2021-03-13"
155;"Haworthia magnifica";"Haworthia magnifica";"";"indoor";"aquarium shelf";"";"";"2021-03-10";"part shade";"succulent";"";"";"moderate";"";"";"95";"65";"60";"";"";"succulent soil dry";"";"10 - 11";"";"https://worldofsucculents.com/haworthia-magnifica/";"";"";"Can get up to 16 inches, but usually 3-5. Can form flowers. Keep dry. Look out for sunburned spots.";"2021-03-13";"2021-03-13"
156;"Flaming katy";"Kalanchoe blossfeldiana";"";"indoor";"plant shelf";"";"";"2021-03-08";"bright";"succulent";"";"";"moderate";"";"";"72";"50";"40";"";"";"";"";"";"";"https://www.ourhouseplants.com/plants/flaming-katy";"Y";"";"Can propagate with leaf cuttings. Will flower again with bright enough light.";"2021-03-13";"2021-03-13"
157;"Emerald Jade Carpet";"Crassula multicava";"";"indoor";"aquarium shelf";"";"";"2021-03-10";"part shade";"succulent";"";"";"moderate";"";"";"90";"40";"30";"";"";"";"";"9 - 11";"";"https://www.waterwisebotanicals.com/plants/Crassula-multicava-p158035875";"";"";"Can get up to 12 inches tall. Crassula may not be the right type of ";"2021-03-13";"2021-03-13"
158;"Black Hens and Chicks";"Echeveria Black Prince";"";"indoor";"aquarium shelf";"";"";"2021-03-10";"part sun";"succulent";"";"";"moderate";"";"";"80";"20";"20";"";"";"";"";"9 - 11";"";"https://succulentplantcare.com/echeveria-black-prince-care-types-propagation-blooms/";"";"";"This should be potted in full sunlight. Gets very tall and leggy in low light.";"2021-03-13";"2021-03-13"
159;"Buttercrunch lettuce";"Lactuca sativa var. capitata";"";"outdoor";"balcony railing";"outdoor";"";"2021-04-03";"full sun to part shade";"vegetable";"";"";"";"";"";"80";"45";"30";"";"";"moist but well-drained, nutrient-rich soil. Amend soil with compost, blood meal or other organic matter prior to planting. Fertile soil helps fuel fast, tender leaf development.";"";"";"2021-04-03";"https://www.thespruce.com/how-to-grow-and-care-for-buttercrunch-lettuce-4767592";"";"";"when it gets hot outside, look to move buttercrunch lettuce into a cooler spot or it will wilt and bolt faster. keep moderate to moist";"2021-04-04";"2021-04-04"
160;"Bear's paw";"Cotyledon tomentosa";"";"indoor";"living room window";"indoor";"";"2021-04-11";"bright";"succulent";"";"";"";"";"";"";"30";"30";"";"";"Well draining soil for succulents. Perlite or coarse sand can be added to ordinary potting soil.";"";"9b-11b";"2021-03-01";"https://succulentsbox.com/blogs/blog/how-to-care-for-cotyledon-tomentosa-bears-paw";"";"";"";"2021-04-11";"2021-04-11"
161;"Haworthia glauca";"Haworthia glauca var herrei";"";"indoor";"living room window";"indoor";"";"";"medium";"succulent";"";"";"";"";"";"";"";"";"";"";"well-drained succulent soil";"";"10a-11";"2021-03-01";"https://plantlust.com/plants/32595/haworthiopsis-glauca-var-herrei/";"";"";"";"2021-04-11";"2021-04-11"
162;"Haworthia venosa (Veined Haworthia)";"Haworthia venosa tessellata";"";"indoor";"front living room window";"indoor";"";"";"medium";"succulent";"";"";"";"";"";"";"25";"25";"";"";"well drained succulent soil";"";"9b-11b";"2021-03-01";"https://worldofsucculents.com/haworthia-venosa-tessellata-veined-haworthia/";"";"";"";"2021-04-11";"2021-04-11"
163;"Queen Victoria Agave";"Agave victoriae-reginae";"";"indoor";"";"indoor";"dry";"";"full sun";"succulent";"";"";"";"";"";"";"20";"20";"";"";"Provide lean to average, well-drained soil.";"";"9-11";"";"https://www.horticultureunlimited.com/plant-guide/queen-victoria-agave/";"";"";"Provide lean to average, well-drained soil. Thrives in full sun in cool coastal areas; shelter from harsh afternoon sun and reflected heat in hot summer areas. Drought tolerant once established, but looks best with periodic water in extreme heat. The mother plant declines after flowering; younger rosettes will perpetuate the plant.";"2021-04-18";"2021-04-18"
164;"Spinach (Bloomsdale) (Seeds)";"Spinacia oleracea";"";"";"";"outdoor";"moist";"";"full sun to part shade";"vegetable";"";"";"";"";"";"";"20";"20";"";"";"";"";"";"";"bactktotheroots.com/seedinfo";"";"";"USDA Organic (Back to the Roots). 1/2"" planting depth. 6"" spacing. 7-14 days to germination. 40-48 days to harvest. Cold weather crop.";"2021-04-20";"2021-04-20"
165;"Arugula (Roquette) (Seeds)";"Eruca vesicaria subsp. sativa";"";"";"";"outdoor";"moist";"";"full sun to part shade";"vegetable";"";"";"";"";"";"";"";"30";"";"";"";"annual";"";"";"backtotheroots.com/seedinfo";"";"";"Cool season plant. Leafy plants grow 6 to 12 inches tall while in the harvest stage. Once they bolt in late spring or early summer, the bloom stalks may grow 24 to 36 inches with (edible!) tan-white flowers on top, which signals that it is time to make room for warm-weather crops. However, some gardeners continue to harvest the leaves even from the tall plants, liking the stronger taste. You can even cut them back and pick some more until you finally tire of that and then pull them up and wait until fall to plant again.

1/8' planting depth. 6"" spacing. 5-7 days to germination. 40 days to harvest. Plant seeds outdoors in dense 2-4"" bands for baby greens, or 6"" apart for full-sized plants.";"2021-04-20";"2021-04-20"
166;"Mesclun (Spicy Mix)";"";"";"";"";"outdoor";"moderate";"";"full sun";"vegetable";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Full sun 6+ hours. 21-35 days to harvest. Depth 1/4"". Thin 12"". Container friendly. Includes 20% lettuces 'Red Salad Bowl' , 20% mustard 'Mizuna', 20% endive 'Green Curled', 20% radicchio 'Red Treviso' and 20% arugula 'Rocket'. Sow in average soil in full sun in early spring, again in late summer for fall crop. Sow thinly in rows 12"" apart and cover with 1/4"" of fine soil. Firm lightly and keep evenly moist. Seedlings emerge in 10-14 days.";"2021-04-20";"2021-04-20"
167;"Lemon Balm";"Melissa officinalis";"";"outdoor";"outer railing";"outdoor";"moderate";"";"full sun";"herb";"";"";"";"";"";"80";"-20";"-20";"";"";"";"perennial";"4-9";"2021-04-17";"https://harvesttotable.com/how_to_grow_lemon_balm/";"";"";" Lemon balm grows best in cool weather. In freezing temperatures, it will die back to the ground then regrow from the roots in spring. Plant form and size: Lemon balm grows to 12 to 24 inches tall and wide; it grows in clumps of branched stems with loose terminal clusters of small white to creamy yellow flowers at the top. Lemon balm may be mistaken for mint at first glance. Flowers: Small white flowers are borne in tight clusters at the axles along the length of the stems. Bloom time: Lemon balm blooms throughout the summer and into fall. Leaves: Lemon balm has lemon-scented, oval, toothed leaves that are heavily veined or quilted from 2 to 3 inches long arranged opposite one another on four-sided stems. Leave are coarsely toothed with a bristly surface.";"2021-04-20";"2021-04-20"
168;"Maidenhair Fern";"Adiantum pedatum";"";"outdoor";"";"indoor and outdoor";"moist";"";"part shade";"";"";"";"";"";"";"";"-40";"-40";"";"";"";"perennial";"3-9";"";"";"";"";"A graceful, delicate-looking fern, beautiful in rock gardens, shaded gardens, and woodland settings. Complements wild ginger, pulmonaria, hellebore, and hosta as well as spring-flowering bulbs. The fronds can be used as filler in bouquets. Easily grown in average, medium, well-drained soil in part shade to full shade. Prefers moist, humusy, acidic soils in full shade. Spreads slowly by creeping, branching rhizomes to form large colonies over time.";"2021-04-22";"2021-04-22"
