name,botanicalName,status,location,locationSec,locationPreferred,waterPref,lastWatered,sunlight,plantType,trouble,needsCare,humidity,heightLow,heightHigh,tempLow,tempHigh,hardiness,tolerance,pH,soilContent,cycle,hardinessZone,lastPotted,links,propogating,watching,notes,createdAt,updatedAt
Dumb Cane,Dieffenbachia,,indoor,,,moderate,10/25/2020,medium to bright light,,,,,,,65,70,60,,,peat perlite potting mix,n/a,10 - 12,5/30/2020,https://plantcaretoday.com/dieffenbachia-plant-care.html,,,n/a,10/11/2020,10/25/2020
Rubber Plant,Ficus elastica,,indoor,,,moderate,10/14/2020,bright light,,,,,,,60,80,50,,,,n/a,10-11,,"https://www.proflowers.com/blog/rubber-plant-care, https://www.today.com/home/easiest-indoor-house-plants-won-t-die-you-t73006",,,let it dry out,10/11/2020,10/25/2020
Coleus,Plectranthus scuttellariodes,,indoor,,outdoor,moist,10/24/2020,"part sun, full sun",,,,none,,,60,100,50,,7,,annual,10-11,,https://www.doityourself.com/stry/mistakes-to-avoid-when-growing-a-coleus,N,,"below 40 and the plant will be damaged. propogating, needs to be topped off",10/11/2020,3/13/2021
Citronella plant,Pelargonium citrosum,,indoor,,outdoor,moderate to dry,10/18/2020,,,,,,,,60,70,50,,,,perennial,9-11,4/3/2021,"https://www.gardenguides.com/90515-care-citronella-plants-fall.html, https://bonnieplants.com/how-to-grow/growing-mosquito-plants/",,,"drought tolerant. also known as mosquito plant. it is a geranium with a lemon scent, but does not actually repel mosquitoes.",10/11/2020,4/4/2021
Rosemary,,,outdoor,balcony railing,outdoor,dry,11/8/2020,full sun,herb,,,,,,30,90,20,,,sandy loamy,,7-10,4/3/2021,"https://bonnieplants.com/how-to-grow/growing-rosemary/, https://www.almanac.com/plant/rosemary",,,"can handle temp being 0, but not sustained",10/11/2020,4/4/2021
Lavender,,,outdoor,,outdoor,dry,,full sun,,,,,,,10,90,20,,,,,5-8,,https://homeguides.sfgate.com/climate-grow-english-lavender-71815.html,,,"check the variety of lavender, as some can't tolerate temps below 40, while others can handle 10 to -20",10/11/2020,3/13/2021
Italian Oregano,,,outdoor,balcony railing,outdoor,moist,11/8/2020,"full sun, part shade",herb,,,,,,30,,20,,,,perennial,5-10,10/24/2020,"https://bonnieplants.com/product/italian-oregano/, https://www.thespruce.com/growing-oregano-plants-1402818",,,allow soil to dry out between waterings,10/11/2020,4/4/2021
Greek Oregano,,,outdoor,balcony railing,outdoor,moist,11/8/2020,"full sun, part shade",herb,,,,,,20,,-30,,,,perennial,4-8,,"https://bonnieplants.com/product/greek-oregano/, https://www.thespruce.com/growing-oregano-plants-1402818",,,allow soil to dry out between waterings,10/11/2020,4/4/2021
Lemon Thyme,Thymus citriodorus,,outdoor,balcony railing,outdoor,,,full sun to part shade,herb,,,,,,100,,10,,,potting mix,,7 - 9,,https://bonnieplants.com/product/lemon-thyme/,,,"Perennial in zones 7 to 9, plant spacing 18 to 24 inches apart. Extremely tolerant of poor soil and drought conditions.",10/11/2020,4/4/2021
Romaine Lettuce,,inactive,outdoor,,outdoor,moist,,full sun to part shade,,,,,,,25,90,,,,,,,,,,,cold weather plant,10/11/2020,4/11/2021
Boxwood,,,outdoor,,outdoor,when dry,,full sun,,,,,,,,,-30,,,,,,,,,,"Also named Buxus, Green Velvet, height 24-36 inches, space 36 inches",10/11/2020,4/4/2021
Miss Kim Lilac,,,outdoor,,outdoor,when dry,,full sun,,,,,,,,,-40,,,,,,,,,,"Also named syringa patula, Miss Kim, height 3-5 feet, space 5 feet, blooms early spring to summer",10/11/2020,3/13/2021
Spinach,Spinacia oleracea,,outdoor,balcony railing,outdoor,moist,,"full sun, part shade",herb,,,,,,,20,20,,,,,,,,,,,10/11/2020,4/20/2021
Flat Leaf Parsley,,,indoor,,,moist,,sun to part shade,,,,,,,,,25,,,,biennial,,,https://bonnieplants.com/product/flat-italian-parsley/,,,"Space 12 to 20 inches apart, depending on type, plant size 1 foot tall",10/11/2020,12/24/2020
Arugula (Roquette),Eruca vesicaria subsp sativa,,outdoor,,outdoor,moist,4/11/2021,,vegetable,,,,,,,,30,,,,annual,,,,,,"Cool season plant. Leafy plants grow 6 to 12 inches tall while in the harvest stage. Once they bolt in late spring or early summer, the bloom stalks may grow 24 to 36 inches with (edible!) tan-white flowers on top, which signals that it is time to make room for warm-weather crops. However, some gardeners continue to harvest the leaves even from the tall plants, liking the stronger taste. You can even cut them back and pick some more until you finally tire of that and then pull them up and wait until fall to plant again.",10/11/2020,4/25/2021
Greek Basil,,,none,,outdoor,moist,10/24/2020,full sun to part sun,herb,,,,,,50,,40,,,,annual,10 - 11,,,N,,"A dwarf basil that grows into a rounded dome. Leaves are 1/2'"" long and have a delicious sweet, spicy flavor. Perfect for decorative 3"" to 6"" pots. A tender annual that prefers sunny locations with rich soil. For best results, start indoors under lights and transplant outdoors after all danger of frost has passed. Pinch off flowers as soon as they appear to extend harvest. This variety is an excellent basil to grow indoors with sufficient light. 5-10 days to germination. 65-70 soil temperature. Full sun light requirements. 1/4th inch planting depth. Plant spacing 4 to 8 inches.",10/11/2020,4/20/2021
Sweet Potato Vine,,inactive,indoor,,outdoor,moist,10/24/2020,"sun, part sun, shade",,,,,,,50,50,40,,,,,,,"http://www.costafarms.com/plants/sweet-potato-vine, https://www.gardendesign.com/vines/sweet-potato-vine.html",,,"For containers, plant in a high quality all-purpose potting soil.",10/11/2020,3/13/2021
Artillery plant,Pilea microphylla,inactive,none,,,moderate,11/8/2020,part shade,houseplant,,,moderate,,,60,95,45,,7,,,11 - 12,,https://www.gardeningknowhow.com/houseplants/pilea-plants/growing-artillery-plants.htm,,,"Propagation Methods: By dividing the rootball, From herbaceous stem cuttings",10/11/2020,12/24/2020
Chinese Money plant,Pilea peperomioides,,indoor,living room window,,moderate to dry,10/18/2020,"bright light, indirect light",,,,,,,65,,none,,,,,,1/1/2000,"https://greeneryunlimited.co/blogs/plant-care/pilea-peperomioides-care, https://bloomscape.com/plant-care-guide/pilea/#g1, https://savvygardening.com/pilea-peperomioides-care/",,,"When overwatered, the Pilea's leaves will develop brown spotting and edging, and the leaves will begin to fall off the plant. If your plant is showing these symptoms, feel the soil. If it’s moist then hold off on watering until the soil dries all the way through the pot. Reference the care instructions for re-establishing a watering routine with your plant. Other causes for brown spotting are too much fertilizer, too much sun, or pests.",10/11/2020,4/4/2021
Spider plant,,,indoor,,,moderate,11/8/2020,"bright light, medium light",,,,,,,60,75,,,,,,,10/1/2020,,,,,10/11/2020,11/8/2020
Haworthia (Zebra Wart),Haworthia reinwardtii,,indoor,,,,10/18/2020,indirect,succulent,,,,,,,,,,,,,,,https://worldofsucculents.com/haworthia-reinwardtii-zebra-wart/,,,,10/11/2020,10/25/2020
Pothos,Epipremnum aureum,in progress,indoor,kitchen,indoor,moderate,11/8/2020,bright indirect,,,,,,,60,80,50,,,any well draining potting soil,,10 - 11,10/3/2020,,,,"Bright indirect light is ideal, but plants are tolerant of low light and fluorescent lighting. Avoid direct sunlight, which can burn or discolor foliage.",10/11/2020,4/19/2021
Fiddleleaf fig plant,ficus lyrata,,indoor,,,moderate to moist,11/1/2020,"bright, filtered light",,,,,,,60,80,,,,Any good fast-draining potting soil will likely do,,,,"https://www.thespruce.com/grow-fiddle-leaf-fig-indoors-1902756, https://www.gardenista.com/posts/10-things-nobody-tells-fiddle-leaf-fig-trees-houseplant-growing-care-guide/",,,in the wild thrive in warm and wet conditions,10/11/2020,11/8/2020
Bird of paradise,Strelitzia reginae,,indoor,living room window,outdoor,moderate,11/1/2020,"very bright light, part sun",,,,,,,50,80,30,,,All-purpose potting mix,,,10/18/2020,https://www.fieldnotesbystudioplants.com/houseplants/bird-of-paradise-plant-care-strelitzia,,,  ,10/11/2020,4/20/2021
Red Aglaonema,Aglaonema,,indoor,,,moderate to dry,11/8/2020,low to bright light,houseplant,,,high,,,65,,65,,,A well-drained lightly acidic potting soil,,10 - 11,10/1/2020,https://www.thespruce.com/grow-aglaonema-houseplants-1902734,,,mist,10/11/2020,11/8/2020
Pincushion peperomia,Peperomia ferreyrae,,indoor,,,,10/18/2020,bright light,,,,moderate,,,65,75,50,,,,perennial,9 - 11,10/1/2020,"https://plantcaretoday.com/peperomia-ferreyrae.html, https://www.houseplantsexpert.com/peperomia-ferreyrae.html",,,Use a potting mix prepared with two parts peat and one part perlite or sand for best results.,10/11/2020,10/25/2020
Umbrella plant,Schefflera arboricola,,indoor,,,moist,11/5/2020,"bright, indirect light",,,,,,,,,,,,,,10 - 11,10/1/2020,https://www.thespruce.com/grow-schefflera-plants-inside-1902771,,,,,11/8/2020
Bamboo plant,Dracaena sanderiana,,indoor,dining room window,,moderate,10/1/2020,indirect light,,,,,,,65,95,,,,,,10-11,,"https://www.proflowers.com/blog/lucky-bamboo-care, https://bambooplantshq.com/lucky-bamboo-turning-white-or-pale/",,,,10/11/2020,4/4/2021
Sensitive plant,Mimosa pudica,in progress,indoor,plant shelf,,moderate,10/24/2020,"bright, medium",houseplant,,,moderate,,,65,85,60,,,"loamy, peat moss",,9 - 11,,"https://www.youtube.com/watch?v=Fl-3lpYXnYg, https://homeguides.sfgate.com/care-sensitive-plant-mimosa-pudica-67276.html",,,allow to dry and wilt a little but watch closely. do not overwater. yellow leaves appear when overwatered. mostly died. we'll see what happens.,10/11/2020,12/24/2020
Stapelia,Stapelia hirsuta,in progress,indoor,front window,,dry,,medium,succulent,,,,,,50,95,50,,,airy well-drained soil,,9 - 10,1/1/2019,"http://pza.sanbi.org/stapelia, https://plantcaretoday.com/carrion-flower-stapelia.html",,,"water once every 3-4 weeks in the winter, once every other week in the growing season. watch for mealy bugs, though they tend to appear from overwatering",10/11/2020,12/24/2020
Janet Craig Compacta (with stalk),Dracaena deremensis,inactive,indoor,,,moderate,10/25/2020,medium,houseplant,,,moderate,,,65,80,40,,,,,9 - 11,10/1/2020,https://plantcaretoday.com/dracaena-compacta.html,,,"tall one with stalk. yellow leaf, too little water or too much sunlight. Also brown leaf tips can mean needs to water with distilled. died when transferred from water only",10/11/2020,12/24/2020
Sansevieria,Sansevieria trifasciata,,indoor,,,moderate,3/11/2021,low,succulent,,,moderate,,,65,80,45,,,,,10 - 11,,https://www.joyusgarden.com/sansevierias-snake-plant-care/,,,"slow growing. make sure soil is completely dry before watering again. water every 2-8 weeks, less often in winter.",10/11/2020,3/18/2021
Rabbit's Foot Fern,Davallia fejeensis,,indoor,,,moderate,11/8/2020,medium,houseplant,,,moderate,,,65,80,55,,,50% peat and chopped bark,,10 - 11,,"https://www.epicgardening.com/rabbits-foot-fern/, https://www.gardeningknowhow.com/houseplants/rabbits-foot-fern/repotting-rabbits-foot-fern.htm",,,"water when top inch of soil is dry. Shallow pots work well for growing this houseplant. Make sure to change the pot every few years. Rabbit’s foot ferns need repotting about every two years, and the best time to repot is in spring. Mix regular potting soil half-and-half with sand to create an ideal medium for rabbit’s foot ferns. This is an excellent time to divide large plants.",10/11/2020,11/8/2020
Purple Waffle Plant,hemigraphis alternata,inactive,indoor,plant shelf,,moist,10/24/2020,bright,houseplant,,,high,,,55,80,55,,,,,10 - 11,,https://lunarly.com/blogs/plant-care/grow-a-vibrant-purple-waffle-plant,,,"low growing. died, didn't keep it moist enough",10/11/2020,12/24/2020
Corn Plant,Dracaena massangeana,,indoor,,outdoor,dry,10/25/2020,bright,houseplant,,,high,,,60,75,11-Oct,,,,,,,"https://www.ourhouseplants.com/plants/dracaena-fragrans, https://www.hunker.com/12135227/how-to-care-for-a-corn-plant-dracaena-fragrans, https://www.thespruce.com/grow-dracaena-fragrans-indoors-1902748",,,"Soil shouldn't be allowed to dry out completely. Does not like direct sunlight. Does prefer some humidity. Repot every two or three years. Avoid using soil mixes that contain a large amount of perlite or fertilizers containing superphosphate with these plants. That's because Dracaenas are very sensitive to fluoride, which perlite and superphosphate contain. Can water with distilled water. In terms of lighting, the ideal location for this plant indoors is near a window with filtered sunlight. Too little light will result in the leaves losing their stripes, and it can cause the plant's growth to become stunted. But direct sun can burn the plant and cause it to wilt. Outdoors, the plant does best in part shade.",,4/4/2021
Boston Fern,Nephrolepis exaltata,in progress,indoor,front window,,moist,10/18/2020,bright indirect,houseplant,,,high,,,60,75,50,,5.5,loamy rich organic mixture as a potting soil peat moss,perennial,9 - 12,10/18/2020,"https://www.gardeningknowhow.com/houseplants/boston-fern/boston-fern-care.htm, https://www.thespruce.com/grow-nephrolepis-boston-ferns-1902723",,,Don't like soggy soil. Mist frequently.,,12/24/2020
Jade,Crassula argentea,,indoor,living room,,moderate,11/5/2020,bright indirect,succulent,,,,,,60,75,50,,5.5,potting mix half perlite,,10 - 12,10/1/2020,https://www.almanac.com/plant/jade-plants,,,"young plants need bright, indirect sunlight, older need direct sunlight for 4 hours. water when mostly dried out, less in winter.",,11/8/2020
ZZ Plant,Zamioculcas zamifolia,,indoor,living room,,moderate,11/8/2020,bright indirect,succulent,,,,,,60,90,50,,5.5,potting mix half perlite,,10 - 12,10/1/2020,https://www.almanac.com/plant/jade-plants,,,"young plants need bright, indirect sunlight, older need direct sunlight for 4 hours. water when mostly dried out, less in winter.",,11/8/2020
Snake plant,Sansevieria fischeri,,,,,dry,,medium,,,,,,,,,,,,,,,,,,,,,
Bird's Nest Snake Plant,Sansevieria trifasciata Hahnii,,,plant shelf,,dry,,medium,succulent,,,,,,,,,,,well draining potting soil,,10 - 11,10/3/2020,"https://desertsucculents.com/birds-nest-sansevieria-trifasciata-hahnii-details-growing-tips/, https://www.urbanorganicyield.com/sansevieria-varieties/",,,"These are small and slow growing so they can be grown in terrariums and dish gardens. Propagation can be done by dividing the rootball, from offsets and from leaf cuttings.",,4/4/2021
African milk tree plant,Euphorbia trigona rubra,,indoor,living room window,,dry,10/24/2020,bright,succulent,,,,,,,,55,,,,,,10/18/2020,"https://dengarden.com/gardening/Euphorbia-Trigona-African-Milk-Tree, https://www.thespruce.com/african-milk-tree-profile-4846360",,,Also known as Rubra or Royal Red. Can water once a week. Drought tolerant. Can grow up to 2 feet a year.,,4/4/2021
Fluffy Ruffle Fern,Nephrolepis exaltata,inactive,indoor,,,moderate,11/7/2020,bright,houseplant,,,high,,,60,80,50,,,"garden soil, sand, peat moss or spaghnum",,11 - 12,,"https://www.hendriksgreenhouses.com/fluffy-ruffle, ",,,"Hybrid of a boston fern. Thrives in humidity. Mist frequently. Don't like soggy soil had fungus gnats. Put outside, got cold and it died.",,12/24/2020
Mini fan plant,,inactive,indoor,,,moist,10/24/2020,bright,houseplant,,,,,,,,,,,regular potting soil,,,8/28/2020,,,,Not sure what the plant is named. Found in mini plant section at Gethsemane. Check frequently and do not allow to get completely dry or leaves will die. Update: died in December,,3/13/2021
Mini bushy plant,,,indoor,,,moderate,10/24/2020,bright,houseplant,,,,,,,,,,,,,,,,,,Not sure what the plant is named. Found in Mariano's. water.,,10/25/2020
Mini flower succulent,,,indoor,,,moderate,10/22/2020,bright,succulent,,,,,,,,,,,,,,,,,,"Not sure what the plant is named. Found in Trader Joe's. Very tall right now, need to be repotted.",,10/25/2020
Prayer Plant,Maranta leuconeura,,indoor,,,moderate,11/7/2020,bright,houseplant,,,moderate,,,,,,,,,,,,https://www.thespruce.com/grow-maranta-inside-1902647,,,,,11/8/2020
Peacock plant,Calathea makoyana,,indoor,dining room,,moist,10/24/2020,low medium,houseplant,Y,,high,,,60,75,60,,,peat sand perlite 1-1-1,,,10/18/2020,https://www.houseplantsexpert.com/peacock-plant-calathea-makoyana.html,,,"evenly moist but not wet. if leaves are turning brown, more humidity. Update In January 2020, all the leaves curled up. Had to cut off two of the dying stems. Seems to curl up under the constant medium light on the plant shelf, probably dry there as well. Have it currently in the dining room. Changing Water from moist to moderate. After being in the dining room for a week and a half, leaves uncurled. No new leaves yet. April 2021, new leaves have been cropping up.",,4/11/2021
Asparagus fern,Asparagus densiflorus,,indoor,fish tank,,moderate,10/24/2020,part shade,,,,,,,,,20,,,,,9 - 11,,,,,drought tolerant. current one is a baby succulent.,,12/24/2020
Peace lily,Spathiphyllum wallisi,in progress,indoor,bedroom,,dry,11/8/2020,bright light,houseplant,,,high,,,65,80,50,,,Peat-based potting mix with perlite sand or bark,,11 - 12,,,,,"Drought tolerant. Wait until it droops a little to water. When your plant’s roots show or your peace lily seems to be drinking up all its water within a few days, re-pot into a larger container. Your plant may need to be gradually moved into larger and larger containers, but generally peace lilies won’t need to go into a pot larger than 10 inches.",,12/24/2020
Gerbera,Gerbera jamesonii,in progress,outdoor,plant shelf,outdoor,,11/8/2020,full sun to part shade,houseplant,Y,,,,,80,50,45,,,rich and moist,perennial,8 - 11,10/17/2020,https://www.thespruce.com/gerber-daises-4121360,,,"Keep watch. Gerbera daisies require full sun to partial shade, but they do not like intense heat. That said, allow for morning sun in warmer zones and full sun in cooler climates. Try not to plant Gerbera near a foundation or stone wall that will reflect heat back onto the plant.",10/18/2020,4/19/2021
Janet Craig Compacta (small),Dracaena deremensis,,indoor,,,,10/24/2020,medium,houseplant,,,moderate,,,65,80,40,,,,,,10/1/2020,,,,smaller version. keep an eye on it. use distilled water if the edge turn brown.,10/25/2020,10/25/2020
Pothos,Epipremnum aureum,in progress,indoor,plant shelf,,,12/31/2020,,houseplant,,,,,,60,80,50,,,any well draining potting soil,,,11/2/2020,,,,"Bright indirect light is ideal, but plants are tolerant of low light and fluorescent lighting. Avoid direct sunlight, which can burn or discolor foliage.",12/24/2020,3/13/2021
Haworthia magnifica,Haworthia magnifica,,indoor,aquarium shelf,,,3/10/2021,part shade,succulent,,,moderate,,,95,65,60,,,succulent soil dry,,10 - 11,,https://worldofsucculents.com/haworthia-magnifica/,,,"Can get up to 16 inches, but usually 3-5. Can form flowers. Keep dry. Look out for sunburned spots.",3/13/2021,3/13/2021
Flaming katy,Kalanchoe blossfeldiana,,indoor,plant shelf,,,3/8/2021,bright,succulent,,,moderate,,,72,50,40,,,,,,,https://www.ourhouseplants.com/plants/flaming-katy,Y,,Can propagate with leaf cuttings. Will flower again with bright enough light.,3/13/2021,3/13/2021
Emerald Jade Carpet,Crassula multicava,,indoor,aquarium shelf,,,3/10/2021,part shade,succulent,,,moderate,,,90,40,30,,,,,9 - 11,,https://www.waterwisebotanicals.com/plants/Crassula-multicava-p158035875,,,Can get up to 12 inches tall. Crassula may not be the right type of ,3/13/2021,3/13/2021
Black Hens and Chicks,Echeveria Black Prince,,indoor,aquarium shelf,,,3/10/2021,part sun,succulent,,,moderate,,,80,20,20,,,,,9 - 11,,https://succulentplantcare.com/echeveria-black-prince-care-types-propagation-blooms/,,,This should be potted in full sunlight. Gets very tall and leggy in low light.,3/13/2021,3/13/2021
Buttercrunch lettuce,Lactuca sativa var. capitata,,outdoor,balcony railing,outdoor,,4/3/2021,full sun to part shade,vegetable,,,,,,80,45,30,,,"moist but well-drained, nutrient-rich soil. Amend soil with compost, blood meal or other organic matter prior to planting. Fertile soil helps fuel fast, tender leaf development.",,,4/3/2021,https://www.thespruce.com/how-to-grow-and-care-for-buttercrunch-lettuce-4767592,,,"when it gets hot outside, look to move buttercrunch lettuce into a cooler spot or it will wilt and bolt faster. keep moderate to moist",4/4/2021,4/4/2021
Bear's paw,Cotyledon tomentosa,,indoor,living room window,indoor,,4/11/2021,bright,succulent,,,,,,,30,30,,,Well draining soil for succulents. Perlite or coarse sand can be added to ordinary potting soil.,,9b-11b,3/1/2021,https://succulentsbox.com/blogs/blog/how-to-care-for-cotyledon-tomentosa-bears-paw,,,,4/11/2021,4/11/2021
Haworthia glauca,Haworthia glauca var herrei,,indoor,living room window,indoor,,,medium,succulent,,,,,,,,,,,well-drained succulent soil,,10a-11,3/1/2021,https://plantlust.com/plants/32595/haworthiopsis-glauca-var-herrei/,,,,4/11/2021,4/11/2021
Haworthia venosa (Veined Haworthia),Haworthia venosa tessellata,,indoor,front living room window,indoor,,,medium,succulent,,,,,,,25,25,,,well drained succulent soil,,9b-11b,3/1/2021,https://worldofsucculents.com/haworthia-venosa-tessellata-veined-haworthia/,,,,4/11/2021,4/11/2021
Queen Victoria Agave,Agave victoriae-reginae,,indoor,,indoor,dry,,full sun,succulent,,,,,,,20,20,,,"Provide lean to average, well-drained soil.",,9-11,,https://www.horticultureunlimited.com/plant-guide/queen-victoria-agave/,,,"Provide lean to average, well-drained soil. Thrives in full sun in cool coastal areas; shelter from harsh afternoon sun and reflected heat in hot summer areas. Drought tolerant once established, but looks best with periodic water in extreme heat. The mother plant declines after flowering; younger rosettes will perpetuate the plant.",4/18/2021,4/18/2021
Spinach (Bloomsdale) (Seeds),Spinacia oleracea,,,,outdoor,moist,,full sun to part shade,vegetable,,,,,,,20,20,,,,,,,bactktotheroots.com/seedinfo,,,USDA Organic (Back to the Roots). 1/2th inch planting depth. 6 inches spacing. 7-14 days to germination. 40-48 days to harvest. Cold weather crop.,4/20/2021,4/20/2021
Arugula (Roquette) (Seeds),Eruca vesicaria subsp sativa,,,,outdoor,moist,,full sun to part shade,vegetable,,,,,,,,30,,,,annual,,,backtotheroots.com/seedinfo,,,"Cool season plant. Leafy plants grow 6 to 12 inches tall while in the harvest stage. Once they bolt in late spring or early summer, the bloom stalks may grow 24 to 36 inches with (edible!) tan-white flowers on top, which signals that it is time to make room for warm-weather crops. However, some gardeners continue to harvest the leaves even from the tall plants, liking the stronger taste. You can even cut them back and pick some more until you finally tire of that and then pull them up and wait until fall to plant again. 1/8th planting depth. 6 inches spacing. 5-7 days to germination. 40 days to harvest. Plant seeds outdoors in dense 2-4 inch bands for baby greens, or 6 inches apart for full-sized plants.",4/20/2021,4/20/2021
Mesclun (Spicy Mix),,,,,outdoor,moderate,,full sun,vegetable,,,,,,,,,,,,,,,,,,"Full sun 6 or more hours. 21-35 days to harvest. Depth 1/4 inches. Thin 12 inches. Container friendly. Includes 20 percent lettuces Red Salad Bowl', 20 percent mustard Mizuna, 20 percent endive Green Curled, 20 percent radicchio Red Treviso and 20 percent arugula Rocket. Sow in average soil in full sun in early spring, again in late summer for fall crop. Sow thinly in rows 12 inches apart and cover with 1/4th inch of fine soil. Firm lightly and keep evenly moist. Seedlings emerge in 10-14 days.",4/20/2021,4/20/2021
Lemon Balm,Melissa officinalis,,outdoor,outer railing,outdoor,moderate,,full sun,herb,,,,,,80,-20,-20,,,,perennial,4-9,4/17/2021,https://harvesttotable.com/how_to_grow_lemon_balm/,,," Lemon balm grows best in cool weather. In freezing temperatures, it will die back to the ground then regrow from the roots in spring. Plant form and size: Lemon balm grows to 12 to 24 inches tall and wide; it grows in clumps of branched stems with loose terminal clusters of small white to creamy yellow flowers at the top. Lemon balm may be mistaken for mint at first glance. Flowers: Small white flowers are borne in tight clusters at the axles along the length of the stems. Bloom time: Lemon balm blooms throughout the summer and into fall. Leaves: Lemon balm has lemon-scented, oval, toothed leaves that are heavily veined or quilted from 2 to 3 inches long arranged opposite one another on four-sided stems. Leave are coarsely toothed with a bristly surface.",4/20/2021,4/20/2021
Maidenhair Fern,Adiantum pedatum,,outdoor,,indoor and outdoor,moist,,part shade,,,,,,,,-40,-40,,,,perennial,3-9,,,,,"A graceful, delicate-looking fern, beautiful in rock gardens, shaded gardens, and woodland settings. Complements wild ginger, pulmonaria, hellebore, and hosta as well as spring-flowering bulbs. The fronds can be used as filler in bouquets. Easily grown in average, medium, well-drained soil in part shade to full shade. Prefers moist, humusy, acidic soils in full shade. Spreads slowly by creeping, branching rhizomes to form large colonies over time.",4/22/2021,4/22/2021
